SeniorCitizen,tenure,MonthlyCharges,TotalCharges,AvgMonthlyCharges,ChargeRatio,TotalServices,HasProtectionServices,HasAnyProtection,HasStreamingServices,HasAnyStreaming,LongTermAutoPayment,HighRiskCustomer,HasPaperlessBilling,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,Gender_encoded,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,65,94.55,6078.75,93.51923076923077,0.9890981572631493,7,4,1,0,0,1,0,0,1,1,1,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,26,35.75,1022.5,39.32692307692308,1.1000537923614846,3,2,1,0,0,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
0,68,90.2,6297.65,92.6125,1.0267461197339245,6,3,1,0,0,1,0,0,1,0,1,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,3,84.3,235.05,78.35000000000001,0.9294187425860025,4,1,1,1,1,0,1,0,0,0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,49,40.65,2070.75,42.26020408163265,1.0396114165223285,3,1,1,1,1,0,0,0,1,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,64,97.0,6430.9,100.4828125,1.0359052835051545,6,3,1,1,1,1,0,0,1,0,1,0,0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,7,64.3,445.95,63.707142857142856,0.9907798267051767,5,2,1,1,1,0,0,0,0,0,1,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
0,22,93.2,2157.3,98.05909090909091,1.0521361685524777,5,1,1,2,1,0,1,1,0,0,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
0,31,54.35,1647.0,53.12903225806452,0.9775350921447012,4,2,1,0,0,0,1,0,1,1,1,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,6,47.95,305.1,50.85,1.0604796663190823,4,1,1,2,1,0,1,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
