SeniorCitizen,tenure,MonthlyCharges,TotalCharges,AvgMonthlyCharges,ChargeRatio,TotalServices,HasProtectionServices,HasAnyProtection,HasStreamingServices,HasAnyStreaming,LongTermAutoPayment,HighRiskCustomer,HasPaperlessBilling,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,Gender_encoded,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1.3218163049693654,0.9815557839637743,1.6599003993413788,0.9437613778746228,-0.21640028665254007,7,4,1,0,0,1,0,0,1,1,1,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,-0.26741022933725495,-0.9715455124063844,-0.5622521877037466,-0.8492979951527723,2.002728687896531,3,2,1,0,0,0,1,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
0,1.4440644999160286,0.8370661472425127,1.756103949661117,0.913760402204558,0.5365644841550916,6,3,1,0,0,1,0,0,1,0,1,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,-1.2046463905950056,0.6410916974366633,-0.9083256719398274,0.44185746252898445,-1.4099973326864148,4,1,1,1,1,0,1,0,0,0,1,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.6698259319204956,-0.8087870710422046,-0.10156067732153597,-0.7522446083680594,0.7938723067277618,3,1,1,1,1,0,0,0,1,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,1.2810669066538112,1.0629350046458643,1.814665498679414,1.174165212365148,0.7197491028485291,6,3,1,1,1,1,0,0,1,0,1,0,0,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
0,-1.041648797332788,-0.023228471396724102,-0.8156380119926696,-0.042630343322988686,-0.18276665118094437,5,2,1,1,1,0,0,0,0,0,1,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
0,-0.43040782259947247,0.9367141725675209,-0.06352313835317878,1.0939716036916929,1.0443691841915679,5,1,1,2,1,0,1,1,0,0,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
0,-0.06366323775948311,-0.35372775539133416,-0.2877929954941682,-0.3926279936590738,-0.4476632848428031,4,2,1,0,0,0,1,0,1,1,1,0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,-1.0823981956483424,-0.5663102094180181,-0.8775396568649181,-0.46803427041252565,1.2112403631681776,4,1,1,2,1,0,1,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,-1.2861451872261143,-1.5212704521160125,-1.0031887890550197,-1.515236937597936,0.001638166931920359,1,0,0,0,0,0,1,1,0,1,1,1,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,-1.0823981956483424,0.4667076531178991,-0.8206701300884257,0.2455414280276646,-1.6766368425697311,4,1,1,0,0,0,1,1,0,0,1,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-0.8379018057550162,0.4916196594491511,-0.5716132458207426,0.6100495707393846,0.9122547023420914,4,1,1,0,0,0,1,1,0,0,1,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.158818711707148,1.3735046835754727,1.9554988824160988,1.5114887575278861,0.8155357858106574,7,2,1,2,1,0,1,1,1,0,1,1,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0.4253295420271693,-1.5063232483172613,-0.6691572293450275,-1.5509016156713729,-1.5534948414836054,1,0,0,0,0,1,0,1,0,0,1,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,-0.1044126360750375,-0.820412673996789,-0.4961314743844014,-0.8568613376228642,-0.594726834753287,3,1,1,1,1,0,1,1,0,0,0,1,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,-0.43040782259947247,-0.32715494863799877,-0.4872977998232925,-0.3562153442237634,-0.3321646599318211,4,2,1,0,0,1,0,1,0,0,1,1,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,0.7920741268671586,-1.3933888196155855,-0.46002767512096376,-1.3519018272160581,0.9444116411542448,2,0,0,0,0,0,0,0,1,1,1,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,-1.2861451872261143,-0.29061733935216244,-0.9869058217670055,-0.28936462103492017,0.001638166931920359,3,0,0,1,1,0,1,1,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.9958211184449305,0.9865381852300249,1.3919016556914172,1.0240720769725786,0.2648906206793858,6,2,1,1,1,0,0,0,0,0,1,0,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
0,1.607062093178246,-0.35871015665758454,0.7188283924905056,-0.3410859920160147,0.18127253049766362,5,2,1,2,1,0,0,1,1,0,0,1,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0.3845801437116149,1.288803862049216,0.8902500224686418,1.2586330025408956,-0.14562412954860454,7,3,1,2,1,0,0,1,0,0,1,1,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,-0.715653610808353,-1.501340847051011,-0.8916691412997265,-1.5484341996119235,-1.6179023284752132,1,0,0,0,0,0,1,0,1,1,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1.2810669066538112,0.5331396700012379,1.2452890271548036,0.5043866699717546,-0.19827847484804748,4,2,1,0,0,0,1,0,1,1,1,0,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0.5883271352893868,0.6626821029237485,0.7542509879942559,0.6781125229353058,0.1288728920204801,4,1,1,1,1,1,0,1,1,1,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0,-1.2453957889105598,-1.1940927689655694,-0.9919599141775901,-1.4101858011583255,-4.593920488669047,2,1,1,0,0,0,0,0,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,-1.2861451872261143,-1.488054443674343,-1.002749302758447,-1.482149965490972,0.001638166931920359,1,0,0,0,0,0,1,0,0,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,-1.2861451872261143,-0.47496618620342734,-0.9893449707129833,-0.4729973162285702,0.001638166931920359,3,1,1,0,0,0,1,1,0,0,1,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1.607062093178246,1.597712740556741,2.613475791329742,1.640019439952418,0.26026075303267326,9,4,1,2,1,1,0,1,1,1,1,1,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,-0.022913839443928746,0.8171365421775109,0.2636744094451096,0.8498611873229841,0.24299038316470967,5,1,1,1,1,0,1,0,1,1,1,0,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,-1.2861451872261143,0.3139140142862202,-0.9789071711693845,0.31281827131182466,0.001638166931920359,3,0,0,0,0,0,1,1,1,0,1,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.5663126948626918,-0.5779358123726024,0.47286988661365936,-0.5764057544051239,-0.009014059362675535,5,4,1,0,0,1,0,1,1,0,0,1,0,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,-0.715653610808353,0.335504419773305,-0.5055364811310548,0.3895800465999809,0.44638177438364973,3,1,1,0,0,0,1,0,1,1,1,0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0.5883271352893868,1.0031461894508595,0.9937490453114852,1.0617454048436044,0.3976718237215183,5,0,0,2,1,1,0,1,1,0,1,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
0,0.058584957187179994,1.086186210555033,0.4870213453632965,1.167921871029156,0.5326794503553656,6,1,1,2,1,0,0,1,1,1,1,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0,0.7105753302360499,1.2904646624712994,1.1936713616223533,1.1700355446590474,-0.670875190134386,7,2,1,2,1,0,0,1,1,1,1,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,-0.9194006023861249,-1.494697645362677,-0.924300998820241,-1.4930686662862704,-0.12836278634805878,1,0,0,0,0,0,0,0,0,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,-1.0008993990172337,0.9001765632816843,-0.690823903766056,0.8684726091331514,-0.1843023930713862,5,1,1,2,1,0,1,1,0,0,1,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,-0.38965842428391806,-1.5063232483172613,-0.8196153629766515,-1.521998188419794,-0.6643695932402114,1,0,0,0,0,0,0,0,1,1,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,-1.041648797332788,0.3288612180849715,-0.7960369231655324,0.16818093610138224,-1.285802133893873,3,1,1,0,0,0,1,1,0,0,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,-0.38965842428391806,0.6394308970145799,-0.1466739456647117,0.6807310155012176,0.3148903672076044,5,2,1,0,0,0,1,0,1,0,1,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,1.607062093178246,0.8619781535737647,1.9120336876850696,0.9065685811840858,0.31942804840106503,9,4,1,2,1,1,0,0,1,1,1,0,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,-0.1044126360750375,0.6693253046120825,0.11165609946065297,0.6683929315546645,0.01259929643743659,4,1,1,1,1,0,1,0,0,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,-0.06366323775948311,-0.48493098873592827,-0.3171946287348741,-0.46403181410926403,0.22821432915331585,5,3,1,1,1,1,0,1,1,0,0,1,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
0,-1.2046463905950056,1.426650297082144,-0.8738040233440512,1.3081846821963252,-0.63137558403055,7,2,1,2,1,0,1,0,0,0,1,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
